tamanho,arestas,repeticao,fonte,algoritmo,tempo_s,co2_kg,co2_mg
100,544,0,40,Classic_O(V^2),0.0017119009999930768,8.89944016742573e-09,0.008899440167425731
100,544,0,40,MinHeap_O((V+E)logV),0.001004361000013887,5.214277134998222e-09,0.0052142771349982225
100,544,0,40,NetworkX (Ref),0.0023103370000114865,9.40624630215056e-09,0.00940624630215056
100,544,0,96,Classic_O(V^2),0.0008937869999954273,5.008571260823441e-09,0.005008571260823441
100,544,0,96,MinHeap_O((V+E)logV),0.0006494840000073054,4.0533536737627105e-09,0.0040533536737627105
100,544,0,96,NetworkX (Ref),0.0006213890000026367,4.345652762883061e-09,0.004345652762883061
100,544,0,56,Classic_O(V^2),0.000860227000003988,5.032417467299588e-09,0.005032417467299588
100,544,0,56,MinHeap_O((V+E)logV),0.0011432960000092862,8.937055865509577e-09,0.008937055865509577
100,544,0,56,NetworkX (Ref),0.0006616210000061074,4.382805137556017e-09,0.004382805137556017
100,544,0,78,Classic_O(V^2),0.0009162629999934779,4.864755406374264e-09,0.004864755406374264
100,544,0,78,MinHeap_O((V+E)logV),0.0006561209999915718,4.203423104161263e-09,0.004203423104161263
100,544,0,78,NetworkX (Ref),0.0010103840000112996,5.034490964632473e-09,0.005034490964632473
100,544,0,92,Classic_O(V^2),0.0008544389999940449,4.850304663831485e-09,0.004850304663831484
100,544,0,92,MinHeap_O((V+E)logV),0.0005938689999993585,4.14504056258494e-09,0.00414504056258494
100,544,0,92,NetworkX (Ref),0.0007093580000230304,4.632002706592001e-09,0.004632002706592002
100,506,1,40,Classic_O(V^2),0.0009037150000210659,5.207969836085043e-09,0.005207969836085043
100,506,1,40,MinHeap_O((V+E)logV),0.0009408930000063265,5.433242283500957e-09,0.0054332422835009575
100,506,1,40,NetworkX (Ref),0.0005952309999770478,4.035406531871847e-09,0.004035406531871847
100,506,1,80,Classic_O(V^2),0.0009194319999892286,5.52687018325502e-09,0.00552687018325502
100,506,1,80,MinHeap_O((V+E)logV),0.0006358920000195667,4.152223516904361e-09,0.004152223516904361
100,506,1,80,NetworkX (Ref),0.0006488859999933538,4.092953786151544e-09,0.004092953786151544
100,506,1,91,Classic_O(V^2),0.0015311600000131875,6.7197934623206644e-09,0.006719793462320664
100,506,1,91,MinHeap_O((V+E)logV),0.0010449819999962529,1.2294533769295541e-08,0.01229453376929554
100,506,1,91,NetworkX (Ref),0.000857840999998416,1.0190301483024546e-08,0.010190301483024546
100,506,1,97,Classic_O(V^2),0.0008963829999970585,4.841317889665214e-09,0.004841317889665214
100,506,1,97,MinHeap_O((V+E)logV),0.0008182809999937035,4.902779338924031e-09,0.004902779338924031
100,506,1,97,NetworkX (Ref),0.000590221999999585,4.177126731937842e-09,0.004177126731937842
100,506,1,62,Classic_O(V^2),0.0014908719999766618,6.6606876323180695e-09,0.00666068763231807
100,506,1,62,MinHeap_O((V+E)logV),0.0006861819999812724,4.28227898535098e-09,0.00428227898535098
100,506,1,62,NetworkX (Ref),0.0005981349999899521,4.060550438293566e-09,0.004060550438293566
100,529,2,20,Classic_O(V^2),0.0008935549999762316,5.005516634861054e-09,0.005005516634861054
100,529,2,20,MinHeap_O((V+E)logV),0.001056736999998975,5.060302008213528e-09,0.005060302008213528
100,529,2,20,NetworkX (Ref),0.0010775900000226102,5.166436452616953e-09,0.0051664364526169525
100,529,2,46,Classic_O(V^2),0.0008903760000293914,4.756351087078571e-09,0.004756351087078571
100,529,2,46,MinHeap_O((V+E)logV),0.000673607000010179,4.317053583795057e-09,0.004317053583795057
100,529,2,46,NetworkX (Ref),0.000684004999982335,4.129060078844098e-09,0.004129060078844098
100,529,2,47,Classic_O(V^2),0.0009607220000020789,5.127482686344209e-09,0.005127482686344209
100,529,2,47,MinHeap_O((V+E)logV),0.0007205779999708284,4.857518880689885e-09,0.004857518880689885
100,529,2,47,NetworkX (Ref),0.0006873369999880197,4.073038923465196e-09,0.004073038923465196
100,529,2,36,Classic_O(V^2),0.0009206990000052429,5.792299550622491e-09,0.005792299550622491
100,529,2,36,MinHeap_O((V+E)logV),0.000739377999991575,4.580116253450168e-09,0.004580116253450168
100,529,2,36,NetworkX (Ref),0.0006507139999598621,4.188228585683084e-09,0.004188228585683083
100,529,2,49,Classic_O(V^2),0.0017377480000391188,7.90047926722807e-09,0.00790047926722807
100,529,2,49,MinHeap_O((V+E)logV),0.001031146999991961,5.108962346574487e-09,0.005108962346574487
100,529,2,49,NetworkX (Ref),0.0007610019999901851,4.494996780168279e-09,0.004494996780168279
100,506,3,70,Classic_O(V^2),0.0009174740000048587,4.968172738937365e-09,0.004968172738937365
100,506,3,70,MinHeap_O((V+E)logV),0.0006697339999846008,4.283492610322798e-09,0.004283492610322798
100,506,3,70,NetworkX (Ref),0.0006134529999712868,4.124972877630385e-09,0.004124972877630385
100,506,3,36,Classic_O(V^2),0.0009161570000060237,5.038392866937035e-09,0.005038392866937034
100,506,3,36,MinHeap_O((V+E)logV),0.0006774979999590869,4.0565473120449805e-09,0.004056547312044981
100,506,3,36,NetworkX (Ref),0.0006559579999816378,4.129195904185142e-09,0.004129195904185142
100,506,3,9,Classic_O(V^2),0.0008894320000081279,4.9009730910112765e-09,0.004900973091011276
100,506,3,9,MinHeap_O((V+E)logV),0.0009840270000154305,4.750949643918046e-09,0.004750949643918046
100,506,3,9,NetworkX (Ref),0.0010904709999977058,5.209241281765757e-09,0.005209241281765756
100,506,3,49,Classic_O(V^2),0.0016611499999612533,7.562385372925458e-09,0.0075623853729254575
100,506,3,49,MinHeap_O((V+E)logV),0.0009412539999971159,4.913957528010426e-09,0.004913957528010425
100,506,3,49,NetworkX (Ref),0.0006049289999623397,4.0808120727329746e-09,0.004080812072732975
100,506,3,64,Classic_O(V^2),0.001185961999965457,6.152452525094097e-09,0.006152452525094097
100,506,3,64,MinHeap_O((V+E)logV),0.0006747569999561165,4.1383066663708354e-09,0.004138306666370836
100,506,3,64,NetworkX (Ref),0.0005860499999812419,4.7812329040048815e-09,0.004781232904004881
100,559,4,45,Classic_O(V^2),0.0009617300000286377,5.337564712876072e-09,0.005337564712876072
100,559,4,45,MinHeap_O((V+E)logV),0.0007020580000016707,4.164024073851842e-09,0.004164024073851842
100,559,4,45,NetworkX (Ref),0.0006838909999942189,4.576168215978333e-09,0.0045761682159783336
100,559,4,34,Classic_O(V^2),0.0014916680000283122,6.702166837503928e-09,0.006702166837503928
100,559,4,34,MinHeap_O((V+E)logV),0.0011851279999746112,7.36090298063249e-09,0.00736090298063249
100,559,4,34,NetworkX (Ref),0.001109242000040922,5.198523835951048e-09,0.005198523835951048
100,559,4,50,Classic_O(V^2),0.0010098220000145375,5.269243254722543e-09,0.005269243254722543
100,559,4,50,MinHeap_O((V+E)logV),0.0007237959999883969,4.447099491382803e-09,0.004447099491382803
100,559,4,50,NetworkX (Ref),0.0007456409999804237,4.376555811015275e-09,0.004376555811015275
100,559,4,10,Classic_O(V^2),0.0010116279999579092,5.310312859435432e-09,0.005310312859435432
100,559,4,10,MinHeap_O((V+E)logV),0.0006757570000104351,4.240037034201395e-09,0.004240037034201395
100,559,4,10,NetworkX (Ref),0.0006852650000155336,4.340548617545174e-09,0.004340548617545174
100,559,4,47,Classic_O(V^2),0.0009203939999906652,5.021123788898895e-09,0.005021123788898895
100,559,4,47,MinHeap_O((V+E)logV),0.0007100810000224556,4.436442598148746e-09,0.004436442598148746
100,559,4,47,NetworkX (Ref),0.0010609489999637844,5.102978144943654e-09,0.0051029781449436545
100,502,5,56,Classic_O(V^2),0.001567669000053229,7.73292389355896e-09,0.00773292389355896
100,502,5,56,MinHeap_O((V+E)logV),0.0006469169999832047,4.245792381916576e-09,0.004245792381916576
100,502,5,56,NetworkX (Ref),0.0006393559999651188,4.04685986182979e-09,0.00404685986182979
100,502,5,58,Classic_O(V^2),0.0009845950000340054,5.680690059313095e-09,0.005680690059313095
100,502,5,58,MinHeap_O((V+E)logV),0.000695335999978397,4.468214017174621e-09,0.004468214017174621
100,502,5,58,NetworkX (Ref),0.0006994400000053247,4.4561541022152946e-09,0.004456154102215295
100,502,5,0,Classic_O(V^2),0.0008986920000211285,5.604510618307031e-09,0.0056045106183070315
100,502,5,0,MinHeap_O((V+E)logV),0.0007043620000217743,4.178871061819307e-09,0.004178871061819306
100,502,5,0,NetworkX (Ref),0.0006619110000087858,4.2217021452976675e-09,0.004221702145297668
100,502,5,54,Classic_O(V^2),0.0009677920000399354,5.070530786545083e-09,0.005070530786545084
100,502,5,54,MinHeap_O((V+E)logV),0.001048040000000583,4.958070528613475e-09,0.004958070528613475
100,502,5,54,NetworkX (Ref),0.0009764199999722223,5.759548368762811e-09,0.005759548368762811
100,502,5,25,Classic_O(V^2),0.0010384450000060497,5.635956663812099e-09,0.005635956663812099
100,502,5,25,MinHeap_O((V+E)logV),0.0006701539999767192,4.05547072627894e-09,0.00405547072627894
100,502,5,25,NetworkX (Ref),0.0006150189999516442,4.1341529940407435e-09,0.004134152994040743
100,511,6,22,Classic_O(V^2),0.000930956999980026,5.076557329391007e-09,0.005076557329391007
100,511,6,22,MinHeap_O((V+E)logV),0.0007382699999993747,4.302454268194294e-09,0.004302454268194294
100,511,6,22,NetworkX (Ref),0.0007101479999960247,4.606332799935941e-09,0.004606332799935941
100,511,6,93,Classic_O(V^2),0.0009316560000343088,4.9783720757534895e-09,0.004978372075753489
100,511,6,93,MinHeap_O((V+E)logV),0.0007069700000101875,4.50473127613584e-09,0.00450473127613584
100,511,6,93,NetworkX (Ref),0.0009962080000036622,5.017653188544685e-09,0.0050176531885446855
100,511,6,0,Classic_O(V^2),0.0014573970000242298,6.261413500129383e-09,0.006261413500129383
